"tconst","ordering","nconst","category","job","characters","primaryName","birthYear","deathYear","primaryProfession","knownForTitles"
"tt5214850","5","nm1066492","actor","","[""Francois Tromeur""]","Valéry Schatz","","","actor,writer,director","tt1888075,tt1156143,tt1217635,tt1024896"
"tt5214850","6","nm3745225","actress","","[""Lucy Preville""]","Charlotte Hope","1991","","actress,soundtrack","tt3640424,tt1707386,tt2980516,tt5814060"
"tt5214850","7","nm0550994","actor","","[""DI Humphrey Goodman""]","Kris Marshall","1973","","actor,producer,archive_footage","tt0314331,tt0795368,tt0379889,tt0240510"
"tt5214850","8","nm0424253","actor","","[""Officer Dwayne Myers""]","Danny John-Jules","1960","","actor,producer,writer","tt0187738,tt0091419,tt0120735,tt0094535"
"tt5214850","9","nm2907225","actress","","[""DS Florence Cassell""]","Joséphine Jobert","1985","","actress","tt7854356,tt1178181,tt11324982,tt1328968"
"tt5214850","10","nm2713033","actor","","[""Officer J.P. Hooper""]","Tobi Bakare","1989","","actor,soundtrack,archive_footage","tt2802144,tt4649466,tt30334749,tt2711738"
"tt5280000","1","nm6261429","actor","","[""Thomas Lightman""]","Liam Jeavons","1991","","actor","tt9253284,tt13994572,tt28197237,tt2678354"
"tt5280000","2","nm0419112","actor","","[""Henry Lee""]","Rob Jarvis","1965","","actor,soundtrack","tt9252090,tt6729080,tt1474684,tt0379632"
"tt5280000","3","nm0931247","actor","","[""Father Brown""]","Mark Williams","1959","","actor,writer,visual_effects","tt0330373,tt0115433,tt0138097,tt0417741"
"tt5280000","4","nm0193663","actress","","[""Mrs McCarthy""]","Sorcha Cusack","1949","","actress,soundtrack,archive_footage","tt0208092,tt2215842,tt0053494,tt0207892"
"tt5280000","5","nm0140943","actress","","[""Lady Felicia""]","Nancy Carroll","1974","","actress,soundtrack,archive_footage","tt14728056,tt2215842,tt4786824,tt15122138"
"tt5280000","6","nm2469730","actor","","[""Sid Carter""]","Alex Price","","","actor,archive_footage","tt1986953,tt4520906,tt0436992,tt4938084"
"tt5280000","7","nm0020237","actress","","[""Iris Lightman""]","Adie Allen","1966","","actress,archive_footage","tt0137279,tt0298685,tt0096555,tt0108683"
"tt5280000","8","nm0244912","actor","","[""George Hammond""]","John Duttine","1949","","actor,archive_footage","tt0080298,tt0420830,tt0081850,tt0053494"
"tt5280000","9","nm0709810","actress","","[""Edie Lee""]","Charlotte Randle","","","actress","tt1565069,tt0112067,tt13139228,tt2251315"
"tt5280000","10","nm0212675","actor","","[""Inspector Mallory""]","Jack Deam","1972","","actor","tt0103473,tt0478942,tt0053494,tt2215842"
"tt5280016","1","nm0519528","actor","","[""Uncle Mirth""]","Toby Longworth","","","actor,writer,director","tt0120915,tt1341167,tt0385801,tt0395404"
"tt5280016","2","nm0931247","actor","","[""Father Brown""]","Mark Williams","1959","","actor,writer,visual_effects","tt0330373,tt0115433,tt0138097,tt0417741"
"tt5280016","3","nm0193663","actress","","[""Mrs McCarthy""]","Sorcha Cusack","1949","","actress,soundtrack,archive_footage","tt0208092,tt2215842,tt0053494,tt0207892"
"tt5280016","4","nm0140943","actress","","[""Lady Felicia""]","Nancy Carroll","1974","","actress,soundtrack,archive_footage","tt14728056,tt2215842,tt4786824,tt15122138"
"tt5280016","5","nm0104033","actor","","[""Henry Kirkov""]","Richard Braine","1956","","actor,miscellaneous,soundtrack","tt0091419,tt1374989,tt0337909,tt0308644"
"tt5280016","6","nm0456902","actress","","[""Annabelle Marcel""]","Oona Kirsch","","","actress","tt0078666,tt0101165,tt0091126,tt0331128"
"tt5280016","7","nm0973354","actor","","[""Sir Mortimer""]","Laurence Kennedy","1963","2018","actor,archive_footage","tt2084970,tt0360201,tt2209714,tt4173306"
"tt5280016","8","nm2341341","actress","","[""Eve Telford""]","Reanne Farley","","","actress","tt3006802,tt1751634,tt12759778,tt2396135"
"tt5280016","9","nm2807812","actor","","[""Jacob Doyle""]","Sam O'Mahony","","","actor,director,writer","tt28751452,tt2336352,tt6482430,tt13601860"
"tt5280016","10","nm0212675","actor","","[""Inspector Mallory""]","Jack Deam","1972","","actor","tt0103473,tt0478942,tt0053494,tt2215842"
"tt5280036","1","nm3593022","actress","","[""Marianne Delacroix""]","Gina Bramhill","","","actress,archive_footage","tt10669608,tt11714672,tt5256926,tt1475582"
"tt5280036","2","nm0832229","actor","","[""Nero Hound""]","Jo Stone-Fewings","1967","","actor","tt2262456,tt4786824,tt1548850,tt6546570"
"tt5280036","3","nm0931247","actor","","[""Father Brown""]","Mark Williams","1959","","actor,writer,visual_effects","tt0330373,tt0115433,tt0138097,tt0417741"
